url,varianta,format_audit,kb_audit,status_acum,format_crawler_acum,kb_crawler_acum,format_browser,kb_browser,dimensiune_px_servita,peste_200kb_in_browser
https://www.alessandrodesign.ro/cdn/shop/files/WPS_Photos_1_575d305c-8086-417b-b848-0c54f7743b5f.png?v=1741679772&width=1946,width=1946,image/png,1646,200,image/png,1749,image/webp,43,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/d48677f1-f5a0-4f95-b9ca-7f6c6359aadc.png?v=1742392073&width=1445,width=1445,image/png,1624,200,image/png,1692,image/webp,92,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a2_b27f1dde-e33d-494b-939c-bf3a145d8ac5.png?v=1742198858&width=1946,width=1946,image/png,1623,200,image/png,1692,image/webp,87,1800x1800,nu
https://i.ibb.co/GFTQMdN/Mod-de-noapte-pentru-un-somn-lini-tit.png,extern,image/png,1588,200,image/png,1588,image/png,1588,1366x768,DA
https://www.alessandrodesign.ro/cdn/shop/files/a1_1305d349-1eff-458f-a695-d7702d5cce1d.png?v=1741861265&width=1445,width=1445,image/png,1570,200,image/png,1645,image/webp,86,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_e698b608-3b17-4880-88ab-26c80016dfad.png?v=1741680979&width=1946,width=1946,image/png,1551,200,image/png,1531,image/webp,107,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_e698b608-3b17-4880-88ab-26c80016dfad.png?v=1741680979&width=1445,width=1445,image/png,1539,200,image/png,1524,image/webp,101,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/72d90f51-7cc7-41ca-920e-3f1d9e7c9d50.png?v=1742897572&width=1445,width=1445,image/png,1527,200,image/png,1612,image/webp,67,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_7a08aeaa-b81b-4972-a007-fc14b5e8ad34.png?v=1742311691&width=1445,width=1445,image/png,1506,200,image/png,1601,image/webp,58,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_685d9d35-2a30-4119-a2d2-fe44bac41ec1.png?v=1741888488&width=1445,width=1445,image/png,1474,200,image/png,1549,image/webp,77,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_1af28574-7104-4fc0-85e3-bfcef7e9b67a.png?v=1742300304&width=1445,width=1445,image/png,1462,200,image/png,1565,image/webp,56,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/d48677f1-f5a0-4f95-b9ca-7f6c6359aadc.png?v=1742392073&width=1946,width=1946,image/png,1449,200,image/png,1502,image/webp,102,1587x1587,nu
https://www.alessandrodesign.ro/cdn/shop/files/a67f2fa1-293a-4a9f-99b9-bc541e6dd032_d5773012-423b-4854-867a-b523e8786db4.png?v=1742809891&width=1946,width=1946,image/png,1446,404,text/html; charset=utf-8,0,text/html; charset=utf-8,0,,nu
https://www.alessandrodesign.ro/cdn/shop/files/a67f2fa1-293a-4a9f-99b9-bc541e6dd032.png?v=1742805364&width=1946,width=1946,image/png,1446,200,image/png,1478,image/webp,151,1600x1600,nu
https://www.alessandrodesign.ro/cdn/shop/files/af357c6d-beba-4e59-8bd2-b0bc378e4779.png?v=1742308685&width=1445,width=1445,image/png,1439,200,image/png,1585,image/webp,67,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/6e6946e3-66b4-47dc-a5f9-e061d2279500.png?v=1742903458&width=1500,width=1500,image/png,1426,200,image/png,1505,image/webp,61,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/72d90f51-7cc7-41ca-920e-3f1d9e7c9d50.png?v=1742897572&width=2048,width=2048,image/png,1425,200,image/png,1483,image/webp,93,1800x1800,nu
https://www.alessandrodesign.ro/cdn/shop/files/72d90f51-7cc7-41ca-920e-3f1d9e7c9d50.png?v=1742897572,original,image/png,1425,200,image/png,1483,image/webp,93,1800x1800,nu
https://www.alessandrodesign.ro/cdn/shop/files/72d90f51-7cc7-41ca-920e-3f1d9e7c9d50.png?v=1742897572&width=1946,width=1946,image/png,1425,200,image/png,1483,image/webp,93,1800x1800,nu
https://i.ibb.co/R34jL8P/Iluminat-perfect-pentru-orice-activitate.png,extern,image/png,1388,200,image/png,1388,image/png,1388,1366x768,DA
https://www.alessandrodesign.ro/cdn/shop/files/6e6946e3-66b4-47dc-a5f9-e061d2279500.png?v=1742903458&width=1445,width=1445,image/png,1347,200,image/png,1422,image/webp,58,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_1af28574-7104-4fc0-85e3-bfcef7e9b67a.png?v=1742300304&width=1946,width=1946,image/png,1322,200,image/png,1407,image/webp,61,1600x1600,nu
https://www.alessandrodesign.ro/cdn/shop/files/a67f2fa1-293a-4a9f-99b9-bc541e6dd032.png?v=1742805364&width=1445,width=1445,image/png,1313,200,image/png,1347,image/webp,128,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a67f2fa1-293a-4a9f-99b9-bc541e6dd032_d5773012-423b-4854-867a-b523e8786db4.png?v=1742809891&width=1445,width=1445,image/png,1313,404,text/html; charset=utf-8,0,text/html; charset=utf-8,0,,nu
https://www.alessandrodesign.ro/cdn/shop/files/6e6946e3-66b4-47dc-a5f9-e061d2279500.png?v=1742903458&width=1946,width=1946,image/png,1269,200,image/png,1311,image/webp,79,1800x1800,nu
https://www.alessandrodesign.ro/cdn/shop/files/6e6946e3-66b4-47dc-a5f9-e061d2279500.png?v=1742903458&width=3840,width=3840,image/png,1269,200,image/png,1311,image/webp,79,1800x1800,nu
https://www.alessandrodesign.ro/cdn/shop/files/6e6946e3-66b4-47dc-a5f9-e061d2279500.png?v=1742903458&width=2048,width=2048,image/png,1269,200,image/png,1311,image/webp,79,1800x1800,nu
https://www.alessandrodesign.ro/cdn/shop/files/6e6946e3-66b4-47dc-a5f9-e061d2279500.png?v=1742903458,original,image/png,1269,200,image/png,1311,image/webp,79,1800x1800,nu
https://www.alessandrodesign.ro/cdn/shop/files/1cf474e9-8688-4aaf-9b27-ac56a04079fe_c21d9b06-0d6d-4376-80c8-6a8db77b5d33.png?v=1742221910&width=1946,width=1946,image/png,1258,200,image/png,1336,image/webp,30,1212x1116,nu
https://www.alessandrodesign.ro/cdn/shop/files/1cf474e9-8688-4aaf-9b27-ac56a04079fe_c21d9b06-0d6d-4376-80c8-6a8db77b5d33.png?v=1742221910&width=1445,width=1445,image/png,1258,200,image/png,1336,image/webp,30,1212x1116,nu
https://www.alessandrodesign.ro/cdn/shop/files/c2fa58d9-b53f-4e16-99d1-c0ecd42ee024.png?v=1741612200&width=1946,width=1946,image/png,1249,200,image/png,1284,image/webp,69,956x956,nu
https://www.alessandrodesign.ro/cdn/shop/files/c2fa58d9-b53f-4e16-99d1-c0ecd42ee024.png?v=1741612200&width=1445,width=1445,image/png,1249,200,image/png,1284,image/webp,69,956x956,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_7a08aeaa-b81b-4972-a007-fc14b5e8ad34.png?v=1742311691&width=1946,width=1946,image/png,1241,200,image/png,1325,image/webp,68,1600x1600,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1.png?v=1741680023&width=1445,width=1445,image/png,1231,200,image/png,1220,image/webp,98,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_685d9d35-2a30-4119-a2d2-fe44bac41ec1.png?v=1741888488&width=1946,width=1946,image/png,1198,200,image/png,1245,image/webp,91,1600x1600,nu
