url,status,format_browser,kb_browser,format_crawler,kb_crawler,px,produse_active,produse_total,exemple_produse
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/15._Cover_content_7545ac71-c97b-4f28-a077-f108f5dad464.jpg?v=1772927812,200,image/webp,2084,image/jpeg,2042,5920x1956,1,1,lustra-led-suspendata-cu-telecomanda-damara-44w-lumina-rece-calda-neutra-dimabila-negru-inaltime-reglabila
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/15._Cover_content_b98d6f5e-14f3-4106-9f16-9659ea465991.jpg?v=1772924293,200,image/webp,1369,image/jpeg,1554,5920x1956,1,1,lustra-led-suspendata-fausto-ii-42w-lumina-rece-calda-neutra-inaltime-reglabila-auriu
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/banner.jpg?v=1773090698,200,image/webp,1214,image/jpeg,1405,5920x1956,1,1,lustra-led-cu-telecomanda-killian-80w-4-cercuri-lumina-rece-calda-neutra-dimabila-auriu
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/1_f870f038-62f3-4ed1-a98d-42343b7100f4.jpg?v=1772914346,200,image/webp,968,image/jpeg,1315,5920x1956,1,1,lustra-led-cu-telecomanda-rinova-66w-2-cercuri-lumina-rece-calda-neutra-dimabila-auriu-lucios
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/Artboard1.jpg?v=1773099908,200,image/webp,854,image/jpeg,1110,5920x1956,1,1,aplica-led-angelique-24w-alb-negru
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/Banner_abce45ac-ecc7-45ae-af80-824993fcc9d9.jpg?v=1773138414,200,image/webp,776,image/jpeg,917,4358x1849,1,1,lustra-led-cu-telecomanda-betty-82w-6-cercuri-lumina-rece-calda-neutra-dimabila-negru
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/Banner_2771f406-b36e-45be-8005-5c1ab7026549.jpg?v=1773113773,200,image/webp,723,image/jpeg,865,4224x1792,1,1,lustra-led-divino-cu-tub-silicon-flexibil-24w-lumina-reglabila-negru-mat
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/banner_e2893cbc-035a-4315-9cf8-2aac330c33e0.jpg?v=1773093388,200,image/webp,588,image/jpeg,886,5920x1956,1,1,lustra-led-suspendata-cu-telecomanda-flux-27w-lumina-rece-calda-neutra-dimabila-negru-inaltime-reglabila
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/Banner_c427352d-f4d0-4b09-95fe-355f28466910.jpg?v=1773113745,200,image/webp,559,image/jpeg,671,4224x1792,1,1,lustra-led-cu-proiector-reglabil-fisso-camilla-49w-lumina-3000-4000-6000k-negru
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/15._Cover_content.jpg?v=1772921491,200,image/webp,549,image/jpeg,810,5920x1956,1,1,lustra-led-cu-telecomanda-suspendata-96w-4-elemente-lumina-rece-calda-neutra-dimabila-negru
